Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2024-09-09 09:00:00 CEST;"97;140625";"85;625";"98;15625";"41;59375";"32;625";0,0kWh;"980;5";0,0kWh
2024-09-09 10:00:00 CEST;"112;96484375";"89;375";"91;96875";"39;8125";"27;5625";0,0kWh;"978;5";0,0kWh
2024-09-09 11:00:00 CEST;"107;7578125";"88;75";"99;625";"39;6875";"33;75";0,0kWh;"1016;5";0,0kWh
2024-09-09 12:00:00 CEST;"106;859375";"83;25";"91;53125";"39;84375";30,0kWh;0,0kWh;"1008;5";0,0kWh
2024-09-09 13:00:00 CEST;"85;55859375";"87;875";"91;1875";"39;546875";31,0kWh;0,0kWh;"982;5";0,0kWh
2024-09-09 14:00:00 CEST;"92;6953125";"87;375";"82;15625";"39;71875";"31;8125";0,0kWh;"996;5";0,0kWh
2024-09-09 15:00:00 CEST;"109;40234375";"80;875";"92;5";"39;515625";"33;25";0,0kWh;"1006;5";0,0kWh
2024-09-09 16:00:00 CEST;"102;15234375";"83;625";91,0kWh;"39;203125";"25;8125";0,0kWh;"976;5";0,0kWh
2024-09-09 17:00:00 CEST;"101;67578125";"67;75";"88;5625";"38;625";31,0kWh;0,0kWh;"928;5";0,0kWh
2024-09-09 18:00:00 CEST;"65;08203125";"68;375";"67;0625";"38;671875";"36;75";0,0kWh;"856;5";0,0kWh
2024-09-09 19:00:00 CEST;"98;2734375";"68;625";75,0kWh;"37;453125";"32;125";0,0kWh;"880;5";0,0kWh
2024-09-09 20:00:00 CEST;"91;78125";"60;75";"68;03125";"35;40625";"35;625";0,0kWh;"804;5";0,0kWh
2024-09-09 21:00:00 CEST;"5;12109375";"11;5";"50;4375";"39;46875";34,0kWh;0,0kWh;"592;5";0,0kWh
2024-09-09 22:00:00 CEST;4,0kWh;"11;25";"51;34375";"36;59375";"37;5";0,0kWh;"598;5";0,0kWh
2024-09-09 23:00:00 CEST;"2;640625";"6;125";"26;21875";"19;5";"16;1875";0,0kWh;"240;5";0,0kWh
2024-09-10 00:00:00 CEST;"4;078125";"11;125";"47;875";"39;140625";"28;25";0,0kWh;"576;5";0,0kWh
2024-09-10 01:00:00 CEST;"4;97265625";"11;125";"45;875";"35;75";"28;5";0,0kWh;"568;5";0,0kWh
2024-09-10 02:00:00 CEST;"4;1015625";"11;375";"43;9375";"27;140625";"33;375";0,0kWh;"558;5";0,0kWh
2024-09-10 03:00:00 CEST;"5;05078125";"11;125";"46;0625";"35;265625";"33;4375";0,0kWh;"602;5";0,0kWh
2024-09-10 04:00:00 CEST;"4;15234375";"11;5";"44;34375";"39;609375";"32;1875";0,0kWh;"594;5";0,0kWh
2024-09-10 05:00:00 CEST;"4;69921875";"11;125";"44;59375";"23;59375";"26;375";0,0kWh;"560;5";0,0kWh
2024-09-10 06:00:00 CEST;"77;640625";"11;25";"40;875";"3;40625";0,0kWh;0,0kWh;"540;5";0,0kWh
2024-09-10 07:00:00 CEST;"106;00390625";"85;875";"88;75";"36;734375";30,0kWh;0,0kWh;"958;5";0,0kWh
2024-09-10 08:00:00 CEST;"103;63671875";"88;125";"97;84375";"34;25";"28;75";0,0kWh;"1006;5";0,0kWh
2024-09-10 09:00:00 CEST;"108;59375";83,0kWh;"96;90625";"39;296875";"29;5";0,0kWh;"992;5";0,0kWh
2024-09-10 10:00:00 CEST;"105;8828125";"93;625";"91;59375";"35;15625";"24;8125";0,0kWh;"986;5";0,0kWh
2024-09-10 11:00:00 CEST;"103;6875";"92;5";"98;3125";"40;90625";"25;8125";0,0kWh;"1008;5";0,0kWh
2024-09-10 12:00:00 CEST;"57;62109375";"94;625";"86;1875";"41;5";"27;5";0,0kWh;"920;5";0,0kWh
2024-09-10 13:00:00 CEST;"117;203125";"84;125";"80;0625";"36;515625";"25;875";0,0kWh;"930;5";0,0kWh
2024-09-10 14:00:00 CEST;"110;0703125";"82;75";"91;40625";"41;453125";"31;75";0,0kWh;"988;5";0,0kWh
2024-09-10 15:00:00 CEST;"110;46875";"83;75";"91;09375";"37;859375";"30;375";0,0kWh;"942;5";0,0kWh
2024-09-10 16:00:00 CEST;"109;29296875";"89;25";"86;25";"41;28125";"32;5625";0,0kWh;"994;5";0,0kWh
2024-09-10 17:00:00 CEST;"112;22265625";87,0kWh;"85;65625";"41;359375";32,0kWh;0,0kWh;"970;5";0,0kWh
2024-09-10 18:00:00 CEST;"113;28125";"90;125";"66;34375";"41;09375";"31;75";0,0kWh;"904;5";0,0kWh
2024-09-10 19:00:00 CEST;"111;2265625";"90;125";"69;5625";"41;09375";"33;375";0,0kWh;"884;5";0,0kWh
2024-09-10 20:00:00 CEST;"105;125";"85;125";"69;03125";"36;9375";"33;0625";0,0kWh;"854;5";0,0kWh
2024-09-10 21:00:00 CEST;"8;21484375";"22;875";"45;15625";"40;265625";"33;375";0,0kWh;"612;5";0,0kWh
2024-09-10 22:00:00 CEST;"8;3515625";"18;875";"46;5625";"39;890625";"34;8125";0,0kWh;"614;5";0,0kWh
2024-09-10 23:00:00 CEST;"4;390625";"9;75";"24;75";"21;46875";"18;4375";0,0kWh;"256;5";0,0kWh
2024-09-11 00:00:00 CEST;"8;48046875";"17;25";"44;71875";"39;109375";"32;6875";0,0kWh;"600;5";0,0kWh
2024-09-11 01:00:00 CEST;"8;046875";"15;625";"41;53125";"38;609375";"27;9375";0,0kWh;"562;5";0,0kWh
2024-09-11 02:00:00 CEST;"8;37890625";"14;625";"41;90625";"21;859375";"35;75";0,0kWh;"534;5";0,0kWh
2024-09-11 03:00:00 CEST;"8;4296875";"14;625";"45;4375";"35;53125";27,0kWh;0,0kWh;"558;5";0,0kWh
2024-09-11 04:00:00 CEST;"8;484375";"14;25";"44;53125";"36;765625";"30;3125";0,0kWh;"556;5";0,0kWh
2024-09-11 05:00:00 CEST;"8;03125";14,0kWh;"42;625";"34;03125";"26;9375";0,0kWh;"546;5";0,0kWh
2024-09-11 06:00:00 CEST;"83;6171875";"16;125";"45;96875";"3;265625";0,0kWh;0,0kWh;"556;5";0,0kWh
2024-09-11 07:00:00 CEST;"107;06640625";"86;375";"88;4375";"40;546875";"39;5625";0,0kWh;"930;5";0,0kWh
2024-09-11 08:00:00 CEST;"102;00390625";93,0kWh;"94;625";"40;6875";"32;8125";0,0kWh;"962;5";0,0kWh
2024-09-11 09:00:00 CEST;"100;43359375";94,0kWh;"94;75";"40;75";"33;125";0,0kWh;"974;5";0,0kWh
2024-09-11 10:00:00 CEST;"93;4921875";"84;125";"91;4375";"40;671875";"24;6875";0,0kWh;"972;5";0,0kWh
2024-09-11 11:00:00 CEST;"61;31640625";"85;5";"96;875";"40;828125";"32;6875";0,0kWh;"950;5";0,0kWh
2024-09-11 12:00:00 CEST;"88;37890625";"87;875";"90;71875";"41;140625";"34;0625";0,0kWh;"978;5";0,0kWh
2024-09-11 13:00:00 CEST;"50;34765625";"91;25";"89;21875";"40;8125";27,0kWh;0,0kWh;"904;5";0,0kWh
2024-09-11 14:00:00 CEST;"40;921875";"90;875";"90;09375";"40;671875";"26;625";0,0kWh;"942;5";0,0kWh
2024-09-11 15:00:00 CEST;"73;484375";91,0kWh;"94;53125";"40;515625";"26;375";0,0kWh;"998;5";0,0kWh
2024-09-11 16:00:00 CEST;"94;66796875";"86;25";"88;625";41,0kWh;"28;75";0,0kWh;"988;5";0,0kWh
2024-09-11 17:00:00 CEST;"78;7578125";"87;125";"85;15625";"40;78125";28,0kWh;0,0kWh;"904;5";0,0kWh
2024-09-11 18:00:00 CEST;"74;83984375";"83;125";"73;84375";"40;53125";"27;1875";0,0kWh;"866;5";0,0kWh
2024-09-11 19:00:00 CEST;"76;27734375";87,0kWh;"71;0625";"37;1875";"31;0625";0,0kWh;"860;5";0,0kWh
2024-09-11 20:00:00 CEST;"68;609375";"81;875";"70;28125";"23;328125";"29;875";0,0kWh;"832;5";0,0kWh
2024-09-11 21:00:00 CEST;"8;046875";"19;875";"46;40625";"29;15625";"29;125";0,0kWh;"578;5";0,0kWh
2024-09-11 22:00:00 CEST;"8;46484375";"16;125";"51;09375";"31;390625";"33;625";0,0kWh;"624;5";0,0kWh
2024-09-11 23:00:00 CEST;"5;4375";"10;25";"27;75";"23;8125";"19;25";0,0kWh;"262;5";0,0kWh
2024-09-12 00:00:00 CEST;"9;578125";"15;625";"48;5";"36;3125";"33;6875";0,0kWh;"602;5";0,0kWh
2024-09-12 01:00:00 CEST;"9;41015625";"15;5";"46;09375";"31;25";"27;125";0,0kWh;"592;5";0,0kWh
2024-09-12 02:00:00 CEST;"10;00390625";15,0kWh;"48;1875";"29;203125";32,0kWh;0,0kWh;"582;5";0,0kWh
2024-09-12 03:00:00 CEST;"9;95703125";"15;5";"50;0625";"37;34375";"30;9375";0,0kWh;"590;5";0,0kWh
2024-09-12 04:00:00 CEST;"9;89453125";"15;625";"49;875";"37;1875";"32;3125";0,0kWh;"614;5";0,0kWh
2024-09-12 05:00:00 CEST;"8;2421875";"16;125";"46;25";"29;34375";"26;8125";0,0kWh;"574;5";0,0kWh
2024-09-12 06:00:00 CEST;"70;92578125";15,0kWh;"46;0625";"4;328125";0,0kWh;0,0kWh;"540;5";0,0kWh
2024-09-12 07:00:00 CEST;"92;23046875";"43;625";"83;625";"35;140625";"33;75";0,0kWh;"826;5";0,0kWh
2024-09-12 08:00:00 CEST;"67;44140625";"80;125";"86;78125";"21;265625";"29;5625";0,0kWh;"860;5";0,0kWh
2024-09-12 09:00:00 CEST;"76;94140625";"89;5";"86;59375";"34;734375";"25;3125";0,0kWh;"882;5";0,0kWh
2024-09-12 10:00:00 CEST;"97;0703125";81,0kWh;"85;09375";"43;65625";"32;4375";0,0kWh;"916;5";0,0kWh
2024-09-12 11:00:00 CEST;"96;234375";84,0kWh;"90;1875";43,0kWh;"32;3125";0,0kWh;"930;5";0,0kWh
2024-09-12 12:00:00 CEST;"94;1015625";"91;875";"82;25";"28;78125";"32;8125";0,0kWh;"906;5";0,0kWh
2024-09-12 13:00:00 CEST;"91;515625";"86;625";"85;84375";"27;546875";"33;4375";0,0kWh;"912;5";0,0kWh
2024-09-12 14:00:00 CEST;"91;7890625";"70;75";"92;1875";"41;359375";"28;125";0,0kWh;"964;5";0,0kWh
2024-09-12 15:00:00 CEST;"93;3125";"84;375";"88;34375";"33;125";"33;75";0,0kWh;"974;5";0,0kWh
2024-09-12 16:00:00 CEST;"95;453125";"81;75";"87;53125";"36;6875";"34;625";0,0kWh;"990;5";0,0kWh
2024-09-12 17:00:00 CEST;"86;921875";"90;125";"83;78125";"40;640625";"32;3125";0,0kWh;"892;5";0,0kWh
2024-09-12 18:00:00 CEST;"93;984375";"88;875";"70;8125";"38;015625";"28;25";0,0kWh;"836;5";0,0kWh
2024-09-12 19:00:00 CEST;"94;484375";"91;875";"68;5625";"26;15625";"35;4375";0,0kWh;"828;5";0,0kWh
2024-09-12 20:00:00 CEST;"79;4921875";"84;5";"70;9375";"34;625";"33;8125";0,0kWh;"816;5";0,0kWh
2024-09-12 21:00:00 CEST;"0;2109375";"13;625";"50;21875";"37;96875";"33;6875";0,0kWh;"612;5";0,0kWh
2024-09-12 22:00:00 CEST;"0;2109375";14,0kWh;"51;21875";"40;421875";"29;375";0,0kWh;"618;5";0,0kWh
2024-09-12 23:00:00 CEST;"0;1328125";"8;625";"31;53125";"24;28125";"20;75";0,0kWh;"262;5";0,0kWh
2024-09-13 00:00:00 CEST;"0;2109375";"14;375";"48;28125";"35;546875";"32;875";0,0kWh;"594;5";0,0kWh
2024-09-13 01:00:00 CEST;"0;2109375";"14;625";"44;40625";"22;578125";"25;25";0,0kWh;"558;5";0,0kWh
2024-09-13 02:00:00 CEST;"0;2109375";"15;25";"47;21875";"28;25";"33;6875";0,0kWh;"550;5";0,0kWh
2024-09-13 03:00:00 CEST;"0;2109375";"27;5";"49;5625";"15;140625";"34;875";0,0kWh;"584;5";0,0kWh
2024-09-13 04:00:00 CEST;"0;2109375";"72;875";"48;6875";"3;1875";"34;1875";0,0kWh;"622;5";0,0kWh
2024-09-13 05:00:00 CEST;"0;2109375";63,0kWh;"48;4375";"3;71875";"29;875";0,0kWh;"608;5";0,0kWh
2024-09-13 06:00:00 CEST;"54;3671875";"21;75";"47;40625";"3;765625";0,0kWh;0,0kWh;"566;5";0,0kWh
2024-09-13 07:00:00 CEST;"97;6875";"86;5";"88;90625";"3;65625";"30;1875";0,0kWh;"930;5";0,0kWh
2024-09-13 08:00:00 CEST;"95;8671875";91,0kWh;"95;28125";"4;890625";"27;125";0,0kWh;"950;5";0,0kWh
2024-09-13 09:00:00 CEST;"94;7734375";"88;25";"93;65625";"5;109375";"31;625";0,0kWh;"938;5";0,0kWh
2024-09-13 10:00:00 CEST;"103;25";"89;25";"88;375";"32;515625";"31;125";0,0kWh;"954;5";0,0kWh
2024-09-13 11:00:00 CEST;"100;1875";"83;25";"97;34375";"37;78125";"30;6875";0,0kWh;"952;5";0,0kWh
2024-09-13 12:00:00 CEST;"95;0859375";"88;5";"93;78125";"40;03125";"28;3125";0,0kWh;"944;5";0,0kWh
2024-09-13 13:00:00 CEST;"95;015625";"88;125";"88;375";"39;28125";"34;3125";0,0kWh;"912;5";0,0kWh
2024-09-13 14:00:00 CEST;"97;0390625";"89;5";"90;21875";"33;625";"32;25";0,0kWh;"938;5";0,0kWh
2024-09-13 15:00:00 CEST;"75;5078125";"89;125";"90;34375";"38;328125";"35;6875";0,0kWh;"928;5";0,0kWh
2024-09-13 16:00:00 CEST;"84;2578125";"90;75";"72;78125";"26;5625";"32;5";0,0kWh;"854;5";0,0kWh
2024-09-13 17:00:00 CEST;"91;5625";"90;625";"83;96875";"36;671875";"33;125";0,0kWh;"862;5";0,0kWh
2024-09-13 18:00:00 CEST;"68;4609375";"91;25";"73;5625";"30;5625";33,0kWh;0,0kWh;"796;5";0,0kWh
2024-09-13 19:00:00 CEST;"18;671875";"89;5";"72;90625";"31;671875";"32;375";0,0kWh;"730;5";0,0kWh
2024-09-13 20:00:00 CEST;"1;6484375";"81;5";"72;59375";"33;671875";"29;5625";0,0kWh;"698;5";0,0kWh
2024-09-13 21:00:00 CEST;"0;21875";"11;25";"54;625";"3;375";"36;3125";0,0kWh;"580;5";0,0kWh
2024-09-13 22:00:00 CEST;"0;21875";"10;625";"52;15625";"3;4375";"29;5625";0,0kWh;"556;5";0,0kWh
2024-09-13 23:00:00 CEST;"0;1484375";"7;125";"32;84375";"2;375";"21;75";0,0kWh;"278;5";0,0kWh
2024-09-14 00:00:00 CEST;"0;21875";"9;625";"50;65625";"3;640625";"35;3125";0,0kWh;"612;5";0,0kWh
2024-09-14 01:00:00 CEST;"0;21875";"9;25";"51;84375";"3;6875";"28;625";0,0kWh;"614;5";0,0kWh
2024-09-14 02:00:00 CEST;"0;21875";"9;25";"51;25";"3;671875";"33;4375";0,0kWh;"558;5";0,0kWh
2024-09-14 03:00:00 CEST;"0;21875";"9;125";"53;15625";"3;671875";"36;1875";0,0kWh;"572;5";0,0kWh
2024-09-14 04:00:00 CEST;"0;21875";"9;25";"53;5";"3;703125";"33;4375";0,0kWh;"616;5";0,0kWh
2024-09-14 05:00:00 CEST;"0;3125";"9;375";"53;4375";"3;703125";"28;125";0,0kWh;"586;5";0,0kWh
2024-09-14 06:00:00 CEST;68,0kWh;"15;25";"48;5625";"3;6875";0,0kWh;0,0kWh;"526;5";0,0kWh
2024-09-14 07:00:00 CEST;"99;0390625";87,0kWh;"83;8125";"41;375";"30;25";0,0kWh;"956;5";0,0kWh
2024-09-14 08:00:00 CEST;"98;5625";"95;625";"89;34375";"37;328125";"36;125";0,0kWh;"944;5";0,0kWh
2024-09-14 09:00:00 CEST;"102;453125";"89;25";"85;96875";"33;65625";"37;25";0,0kWh;"928;5";0,0kWh
2024-09-14 10:00:00 CEST;"100;2734375";"93;75";"81;0625";"39;046875";"26;3125";0,0kWh;"930;5";0,0kWh
2024-09-14 11:00:00 CEST;"88;15625";"92;25";"85;4375";"39;140625";"33;625";0,0kWh;"900;5";0,0kWh
2024-09-14 12:00:00 CEST;"98;328125";92,0kWh;"81;1875";"39;359375";"33;6875";0,0kWh;"884;5";0,0kWh
2024-09-14 13:00:00 CEST;"96;1171875";"88;375";"79;6875";"35;859375";"34;1875";0,0kWh;"830;5";0,0kWh
2024-09-14 14:00:00 CEST;"67;25";"95;5";"72;5625";"39;40625";"32;875";0,0kWh;"758;5";0,0kWh
2024-09-14 15:00:00 CEST;"99;09375";"84;375";"74;375";"39;453125";"35;6875";0,0kWh;"792;5";0,0kWh
2024-09-14 16:00:00 CEST;"102;109375";81,0kWh;"68;21875";"36;71875";"30;6875";0,0kWh;"760;5";0,0kWh
2024-09-14 17:00:00 CEST;"98;328125";"93;5";"71;78125";"38;546875";"34;9375";0,0kWh;"774;5";0,0kWh
2024-09-14 18:00:00 CEST;"96;515625";"92;5";"71;34375";"37;1875";"30;5";0,0kWh;"758;5";0,0kWh
2024-09-14 19:00:00 CEST;"99;7421875";"91;625";69,0kWh;"34;203125";"36;375";0,0kWh;"780;5";0,0kWh
2024-09-14 20:00:00 CEST;"84;46875";"91;125";"64;90625";"35;65625";"27;1875";0,0kWh;"694;5";0,0kWh
2024-09-14 21:00:00 CEST;"0;21875";"16;75";"6;71875";0,0kWh;0,0kWh;0,0kWh;"168;5";0,0kWh
2024-09-14 22:00:00 CEST;"0;21875";"16;875";"6;375";0,0kWh;0,0kWh;0,0kWh;"160;5";0,0kWh
2024-09-14 23:00:00 CEST;"0;15625";"10;875";"4;375";0,0kWh;0,0kWh;0,0kWh;"78;5";0,0kWh
2024-09-15 00:00:00 CEST;"0;21875";"14;5";"6;40625";0,0kWh;0,0kWh;0,0kWh;"152;5";0,0kWh
2024-09-15 01:00:00 CEST;"0;21875";"14;75";"6;40625";0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2024-09-15 02:00:00 CEST;"0;21875";"14;375";"6;40625";0,0kWh;0,0kWh;0,0kWh;"150;5";0,0kWh
2024-09-15 03:00:00 CEST;"0;21875";"14;125";"6;5";0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2024-09-15 04:00:00 CEST;"0;21875";14,0kWh;"6;46875";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-09-15 05:00:00 CEST;"0;21875";"14;625";"6;46875";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-09-15 06:00:00 CEST;"0;21875";"24;875";"22;53125";"1;234375";0,0kWh;0,0kWh;"216;5";0,0kWh
2024-09-15 07:00:00 CEST;"2;8671875";"90;625";"50;9375";"18;3125";0,0kWh;0,0kWh;"418;5";0,0kWh
2024-09-15 08:00:00 CEST;"1;3203125";"91;875";"61;8125";"38;734375";"25;6875";0,0kWh;"484;5";0,0kWh
2024-09-15 09:00:00 CEST;"1;265625";91,0kWh;"63;15625";"38;890625";"37;125";0,0kWh;"498;5";0,0kWh
2024-09-15 10:00:00 CEST;"0;625";"91;125";"57;75";"37;3125";"35;1875";0,0kWh;"474;5";0,0kWh
2024-09-15 11:00:00 CEST;"0;21875";"82;5";"69;25";"33;46875";"28;5625";0,0kWh;"468;5";0,0kWh
2024-09-15 12:00:00 CEST;"0;2109375";"14;375";"59;90625";0,0kWh;"26;8125";0,0kWh;"314;5";0,0kWh
2024-09-15 13:00:00 CEST;"0;2109375";"13;75";"36;125";0,0kWh;"19;4375";0,0kWh;"246;5";0,0kWh
2024-09-15 14:00:00 CEST;"0;2109375";"13;5";"32;25";0,0kWh;"29;5625";0,0kWh;"206;5";0,0kWh
2024-09-15 15:00:00 CEST;"0;2109375";"13;25";"32;21875";0,0kWh;"31;3125";0,0kWh;"202;5";0,0kWh
2024-09-15 16:00:00 CEST;"0;2109375";"13;75";"30;28125";0,0kWh;"30;125";0,0kWh;"198;5";0,0kWh
2024-09-15 17:00:00 CEST;"0;2109375";13,0kWh;"30;59375";0,0kWh;"33;125";0,0kWh;"202;5";0,0kWh
2024-09-15 18:00:00 CEST;"0;21875";"13;625";"24;625";0,0kWh;"25;0625";0,0kWh;"188;5";0,0kWh
2024-09-15 19:00:00 CEST;"0;21875";"12;875";"6;46875";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-09-15 20:00:00 CEST;"0;2265625";"13;125";"6;375";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-09-15 21:00:00 CEST;"0;21875";"13;375";"6;53125";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-09-15 22:00:00 CEST;"0;21875";"12;75";"6;46875";0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2024-09-15 23:00:00 CEST;"0;171875";"10;625";"4;90625";0,0kWh;0,0kWh;0,0kWh;"70;5";0,0kWh
2024-09-16 00:00:00 CEST;"0;21875";"13;25";"6;1875";0,0kWh;0,0kWh;0,0kWh;"136;5";0,0kWh
2024-09-16 01:00:00 CEST;"0;21875";"13;375";"6;75";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2024-09-16 02:00:00 CEST;"0;2265625";"13;125";"6;4375";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2024-09-16 03:00:00 CEST;"0;21875";"13;25";"6;34375";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2024-09-16 04:00:00 CEST;"0;21875";"13;5";"6;5625";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2024-09-16 05:00:00 CEST;"0;21875";"13;5";"6;4375";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-09-16 06:00:00 CEST;"29;3046875";"35;875";"42;09375";"10;21875";0,0kWh;0,0kWh;"450;5";0,0kWh
2024-09-16 07:00:00 CEST;"99;7578125";"82;5";"84;1875";"37;8125";"36;5";0,0kWh;"916;5";0,0kWh
2024-09-16 08:00:00 CEST;"65;6875";"89;875";"95;78125";"40;0625";"35;0625";0,0kWh;"934;5";0,0kWh
2024-09-16 09:00:00 CEST;"97;0546875";"86;875";"88;65625";"36;859375";"27;8125";0,0kWh;"948;5";0,0kWh
2024-09-16 10:00:00 CEST;"43;78125";84,0kWh;"82;875";"40;5";"29;8125";0,0kWh;"870;5";0,0kWh
2024-09-16 11:00:00 CEST;"77;0546875";"78;375";"95;9375";"35;9375";"32;625";0,0kWh;"902;5";0,0kWh
2024-09-16 12:00:00 CEST;"88;9375";"79;625";"92;5";"38;109375";"32;125";0,0kWh;"928;5";0,0kWh
2024-09-16 13:00:00 CEST;"63;953125";"89;875";"96;28125";"36;171875";"31;75";0,0kWh;"924;5";0,0kWh
2024-09-16 14:00:00 CEST;"108;2265625";"90;375";"98;8125";"39;40625";"32;5625";0,0kWh;"976;5";0,0kWh
2024-09-16 15:00:00 CEST;"106;484375";"90;125";"96;21875";"35;15625";"31;375";0,0kWh;"944;5";0,0kWh
2024-09-16 16:00:00 CEST;"93;3828125";"92;625";"90;3125";"37;921875";"33;5625";0,0kWh;"928;5";0,0kWh
2024-09-16 17:00:00 CEST;"73;234375";"92;375";"79;78125";"37;53125";"34;125";0,0kWh;"838;5";0,0kWh
2024-09-16 18:00:00 CEST;"98;7109375";"94;875";"76;4375";"37;609375";"26;75";0,0kWh;"842;5";0,0kWh
2024-09-16 19:00:00 CEST;"98;46875";94,0kWh;"69;46875";"39;765625";"28;625";0,0kWh;"822;5";0,0kWh
2024-09-16 20:00:00 CEST;"89;921875";"93;25";"71;75";36,0kWh;"37;5";0,0kWh;"802;5";0,0kWh
2024-09-16 21:00:00 CEST;"4;5";"69;375";"49;75";"39;1875";"31;9375";0,0kWh;"606;5";0,0kWh
2024-09-16 22:00:00 CEST;"4;3203125";"73;875";"53;03125";"38;65625";"33;6875";0,0kWh;"618;5";0,0kWh
2024-09-16 23:00:00 CEST;"4;125";"61;375";"45;0625";"30;8125";"28;4375";0,0kWh;"280;5";0,0kWh
2024-09-17 00:00:00 CEST;"4;3203125";"15;25";"49;3125";"36;6875";"38;8125";0,0kWh;"598;5";0,0kWh
2024-09-17 01:00:00 CEST;"4;3125";"14;75";"48;71875";"36;4375";"28;9375";0,0kWh;"574;5";0,0kWh
2024-09-17 02:00:00 CEST;"4;3203125";"15;125";"49;15625";"37;859375";"32;875";0,0kWh;"550;5";0,0kWh
2024-09-17 03:00:00 CEST;"4;2578125";"14;875";"51;6875";"37;921875";"36;625";0,0kWh;"592;5";0,0kWh
2024-09-17 04:00:00 CEST;"4;265625";15,0kWh;"51;59375";"37;75";"30;875";0,0kWh;"574;5";0,0kWh
2024-09-17 05:00:00 CEST;"4;3515625";"14;75";"49;8125";"28;28125";"34;25";0,0kWh;"562;5";0,0kWh
2024-09-17 06:00:00 CEST;"7;0390625";"39;875";"47;4375";"13;421875";0,0kWh;0,0kWh;"500;5";0,0kWh
2024-09-17 07:00:00 CEST;"96;5078125";"93;625";"88;375";"40;109375";"30;75";0,0kWh;"936;5";0,0kWh
2024-09-17 08:00:00 CEST;"92;3828125";"89;375";"96;78125";"40;015625";"28;0625";0,0kWh;"940;5";0,0kWh
2024-09-17 09:00:00 CEST;"85;671875";86,0kWh;"98;21875";"38;890625";"31;6875";0,0kWh;"938;5";0,0kWh
2024-09-17 10:00:00 CEST;"91;21875";"81;75";"92;875";"35;296875";"26;375";0,0kWh;"902;5";0,0kWh
2024-09-17 11:00:00 CEST;"89;1171875";"91;625";"98;78125";"37;390625";"33;3125";0,0kWh;"946;5";0,0kWh
2024-09-17 12:00:00 CEST;"89;7109375";"89;5";"86;71875";"40;34375";"34;75";0,0kWh;"926;5";0,0kWh
2024-09-17 13:00:00 CEST;"89;6484375";"88;125";"90;3125";"40;265625";"32;9375";0,0kWh;"936;5";0,0kWh
2024-09-17 14:00:00 CEST;"78;5";"89;75";"84;75";"40;40625";31,0kWh;0,0kWh;"918;5";0,0kWh
2024-09-17 15:00:00 CEST;"68;78125";"90;75";"93;3125";"33;546875";"34;5625";0,0kWh;"910;5";0,0kWh
2024-09-17 16:00:00 CEST;"98;953125";"92;125";"88;28125";"40;0625";"27;1875";0,0kWh;"944;5";0,0kWh
2024-09-17 17:00:00 CEST;"105;65625";"88;25";"79;75";"40;140625";"33;25";0,0kWh;"894;5";0,0kWh
2024-09-17 18:00:00 CEST;"106;71875";"91;25";"72;125";"39;875";"36;25";0,0kWh;"886;5";0,0kWh
2024-09-17 19:00:00 CEST;"103;125";"92;5";"65;65625";"40;25";"32;5";0,0kWh;"878;5";0,0kWh
2024-09-17 20:00:00 CEST;"90;71875";"92;5";"75;28125";"37;296875";"34;875";0,0kWh;"836;5";0,0kWh
2024-09-17 21:00:00 CEST;"4;5078125";"54;125";"49;875";"39;8125";"34;375";0,0kWh;"640;5";0,0kWh
2024-09-17 22:00:00 CEST;"5;0390625";"75;375";"53;4375";"39;375";"32;625";0,0kWh;"654;5";0,0kWh
2024-09-17 23:00:00 CEST;"3;9296875";"64;375";"48;90625";"35;484375";"31;875";0,0kWh;"302;5";0,0kWh
2024-09-18 00:00:00 CEST;"4;6953125";"16;375";"49;5625";"37;859375";"38;8125";0,0kWh;"598;5";0,0kWh
2024-09-18 01:00:00 CEST;"4;734375";"15;5";"50;28125";"37;5625";"28;9375";0,0kWh;"584;5";0,0kWh
2024-09-18 02:00:00 CEST;"4;0234375";"13;25";"49;375";"37;40625";"31;8125";0,0kWh;"548;5";0,0kWh
2024-09-18 03:00:00 CEST;"4;9609375";"13;875";"52;25";"37;453125";"36;1875";0,0kWh;"602;5";0,0kWh
